transaction_id,transaction_date,buyer_id,supplier_id,supplier_name,supplier_tier,supplier_employee_count,supplier_hq_region,supplier_founding_year,category,unit_price,volume,total_dollars_obligated,on_time_delivery_pct,quality_score,is_cost_reduction_era,diversity_certified,relationship_years,buyer_trust_score,disruption_resilience,strategic_alignment
36,2024-08-18,BYR_006,SUP_LARGE_079,LargeSupplier_079,LARGE,6474,Northeast,1988,Raw Materials,9670.41,532,5144658.12,91.1,4.94,False,False,8.0,6.77,4.85,False
37,2024-10-22,BYR_004,SUP_LARGE_029,LargeSupplier_029,LARGE,5609,Southwest,1957,Logistics,18933.79,92,1741908.68,98.6,5.0,False,False,13.8,9.42,8.11,False
38,2024-09-18,BYR_009,SUP_LARGE_022,LargeSupplier_022,LARGE,1946,Midwest,1978,Legal Services,141874.16,1,141874.16,98.5,3.83,False,True,10.6,5.92,5.13,False
39,2021-08-27,BYR_002,SUP_LARGE_012,LargeSupplier_012,LARGE,5019,Midwest,2002,Facilities,25900.08,1,25900.08,84.2,4.92,True,True,5.0,9.2,7.11,False
40,2023-11-06,BYR_001,SUP_LARGE_011,LargeSupplier_011,LARGE,3885,Midwest,1974,Professional Services,71270.53,1,71270.53,94.6,4.47,False,True,10.5,7.84,7.42,False
41,2022-10-09,BYR_006,SUP_LARGE_039,LargeSupplier_039,LARGE,600,West,2004,Raw Materials,7624.7,173,1319073.1,94.0,4.47,True,True,3.1,7.32,8.21,False
42,2024-12-08,BYR_007,SUP_SMALL_002,SmallSupplier_002,SMALL,82,West,2017,IT Hardware,43909.97,29,1273389.13,78.7,3.47,False,True,4.7,3.77,3.31,False
43,2022-02-18,BYR_007,SUP_LARGE_082,LargeSupplier_082,LARGE,1860,Northeast,1964,Legal Services,57597.39,1,57597.39,87.0,3.97,True,False,11.0,8.84,4.58,False
44,2024-10-26,BYR_001,SUP_LARGE_105,LargeSupplier_105,LARGE,6359,Southwest,1986,Facilities,34844.09,1,34844.09,98.6,4.48,False,True,5.4,7.67,7.66,True
45,2023-10-09,BYR_005,SUP_SMALL_017,SmallSupplier_017,SMALL,145,Southeast,2006,Facilities,27096.92,1,27096.92,93.6,4.93,False,True,1.9,7.43,2.56,False
46,2024-07-16,BYR_002,SUP_LARGE_010,LargeSupplier_010,LARGE,7071,Northeast,1968,IT Software,67061.59,19,1274170.21,71.4,4.28,False,False,4.2,9.11,6.55,False
47,2022-07-02,BYR_000,SUP_LARGE_052,LargeSupplier_052,LARGE,606,Southeast,1961,IT Software,63183.29,28,1769132.12,93.0,4.5,True,True,4.8,7.9,5.04,False
48,2021-03-08,BYR_005,SUP_LARGE_067,LargeSupplier_067,LARGE,4250,Northeast,1977,Office Supplies,4789.64,3345,16021345.8,86.6,4.45,True,False,9.9,9.49,7.65,False
49,2022-05-01,BYR_003,SUP_LARGE_079,LargeSupplier_079,LARGE,6474,Northeast,1988,Raw Materials,13484.27,520,7011820.4,85.5,4.92,True,False,8.0,6.77,4.85,False
50,2025-07-22,BYR_007,SUP_LARGE_044,LargeSupplier_044,LARGE,2132,Northeast,1961,Professional Services,106319.37,1,106319.37,64.3,4.45,False,False,6.2,8.34,8.91,False
51,2023-11-14,BYR_009,SUP_LARGE_112,LargeSupplier_112,LARGE,3668,Midwest,1993,Professional Services,78910.98,1,78910.98,94.3,4.9,False,True,14.9,9.5,6.82,False
52,2021-10-16,BYR_001,SUP_LARGE_030,LargeSupplier_030,LARGE,2902,Southwest,1984,Facilities,21728.47,1,21728.47,84.5,5.0,True,True,8.6,7.04,7.38,False
53,2024-08-30,BYR_007,SUP_LARGE_113,LargeSupplier_113,LARGE,6327,West,1990,Legal Services,84922.23,1,84922.23,93.1,4.48,False,True,7.2,8.65,8.24,False
54,2023-01-19,BYR_005,SUP_SMALL_021,SmallSupplier_021,SMALL,300,Southwest,2011,IT Software,73806.05,22,1623733.1,76.7,4.19,False,True,1.9,7.56,2.57,True
55,2023-12-24,BYR_005,SUP_SMALL_003,SmallSupplier_003,SMALL,51,Northeast,2017,HR Services,66529.65,1,66529.65,75.5,3.63,False,True,1.4,5.4,2.94,False
56,2022-07-20,BYR_003,SUP_LARGE_025,LargeSupplier_025,LARGE,972,Northeast,2008,Office Supplies,2574.33,3205,8250727.65,82.8,4.92,True,True,12.0,8.77,4.97,False
57,2021-12-11,BYR_003,SUP_LARGE_057,LargeSupplier_057,LARGE,1468,Southeast,1991,Facilities,28416.01,2,56832.02,86.0,4.74,True,True,13.1,7.43,7.96,False
58,2024-03-02,BYR_007,SUP_LARGE_043,LargeSupplier_043,LARGE,2817,West,1984,Logistics,29656.93,35,1037992.55,89.9,5.0,False,True,13.1,5.66,5.41,False
59,2025-11-22,BYR_009,SUP_SMALL_016,SmallSupplier_016,SMALL,141,Pacific,2008,IT Hardware,40478.09,11,445258.99,84.5,4.03,False,True,3.2,5.41,3.98,False
60,2023-02-20,BYR_009,SUP_LARGE_066,LargeSupplier_066,LARGE,2528,Southeast,1954,Office Supplies,2985.03,3530,10537155.9,91.6,4.05,False,False,6.3,9.05,5.34,False
61,2024-12-07,BYR_000,SUP_LARGE_047,LargeSupplier_047,LARGE,4983,Northeast,2008,IT Software,50677.63,17,861519.71,89.9,4.28,False,False,4.6,6.61,5.87,False
62,2023-03-01,BYR_006,SUP_LARGE_008,LargeSupplier_008,LARGE,2582,Midwest,1965,IT Hardware,50625.05,15,759375.75,98.9,4.18,False,False,4.9,7.5,5.19,False
63,2025-06-19,BYR_008,SUP_LARGE_030,LargeSupplier_030,LARGE,2902,Southwest,1984,Facilities,25908.82,1,25908.82,79.1,4.8,False,True,8.6,7.04,7.38,False
64,2021-02-19,BYR_003,SUP_LARGE_065,LargeSupplier_065,LARGE,4637,Northeast,1973,Marketing,43799.16,1,43799.16,77.8,4.03,True,False,7.8,9.08,7.52,False
65,2023-10-11,BYR_003,SUP_LARGE_078,LargeSupplier_078,LARGE,5794,Southwest,1976,Professional Services,64503.28,1,64503.28,81.0,4.81,False,True,6.1,9.18,6.55,False
66,2023-08-26,BYR_003,SUP_LARGE_104,LargeSupplier_104,LARGE,7191,Southeast,1987,Legal Services,87207.62,1,87207.62,75.1,4.88,False,False,5.4,8.61,8.37,False
67,2025-08-28,BYR_005,SUP_LARGE_002,LargeSupplier_002,LARGE,10941,West,1979,Office Supplies,3819.43,8349,31888421.07,91.1,4.52,False,False,5.3,7.37,4.7,False
68,2025-02-04,BYR_004,SUP_LARGE_044,LargeSupplier_044,LARGE,2132,Northeast,1961,Marketing,48527.08,1,48527.08,94.3,5.0,False,False,6.2,8.34,8.91,False
69,2023-10-31,BYR_006,SUP_LARGE_019,LargeSupplier_019,LARGE,2578,Southwest,2002,Facilities,17321.13,1,17321.13,80.3,4.17,False,True,5.4,6.74,8.0,True
70,2025-09-22,BYR_005,SUP_LARGE_055,LargeSupplier_055,LARGE,4593,Northeast,2003,Raw Materials,15598.89,356,5553204.84,92.5,4.64,False,False,5.2,9.13,4.7,False
71,2025-03-30,BYR_004,SUP_LARGE_071,LargeSupplier_071,LARGE,5161,Midwest,1979,Raw Materials,11384.29,326,3711278.54,93.5,4.62,False,False,8.7,9.48,7.54,False
72,2026-02-20,BYR_008,SUP_LARGE_064,LargeSupplier_064,LARGE,5440,West,1970,Facilities,22230.89,2,44461.78,94.1,4.0,False,True,12.6,5.7,5.56,False
73,2023-10-17,BYR_004,SUP_SMALL_008,SmallSupplier_008,SMALL,126,Southeast,2013,Facilities,30016.3,1,30016.3,84.2,4.31,False,True,4.4,6.15,3.93,False
74,2020-12-19,BYR_001,SUP_LARGE_000,LargeSupplier_000,LARGE,4789,Southwest,1967,IT Hardware,24043.24,30,721297.2,92.1,4.32,True,True,11.4,5.88,8.89,False
75,2025-03-27,BYR_008,SUP_LARGE_021,LargeSupplier_021,LARGE,1103,Northeast,1982,IT Software,96875.48,59,5715653.32,94.8,4.82,False,True,14.1,7.09,5.85,False
76,2024-04-08,BYR_006,SUP_LARGE_097,LargeSupplier_097,LARGE,7937,Southeast,1984,IT Hardware,49001.96,6,294011.76,83.6,4.08,False,False,10.3,7.36,6.3,False
77,2025-01-03,BYR_007,SUP_LARGE_006,LargeSupplier_006,LARGE,6905,Northeast,1993,Legal Services,95286.69,1,95286.69,91.2,4.53,False,False,8.2,6.36,6.34,False
78,2022-03-21,BYR_009,SUP_LARGE_053,LargeSupplier_053,LARGE,2200,West,1988,IT Hardware,43218.92,19,821159.48,79.3,4.58,True,True,7.7,8.06,4.55,False
79,2022-01-24,BYR_000,SUP_LARGE_118,LargeSupplier_118,LARGE,4296,Northeast,1995,HR Services,35746.07,2,71492.14,88.3,4.25,True,False,10.8,7.29,6.27,False
80,2022-12-19,BYR_005,SUP_LARGE_090,LargeSupplier_090,LARGE,2150,Northeast,1981,IT Hardware,42144.01,16,674304.16,86.4,4.52,True,False,8.8,9.34,7.44,False
81,2023-01-15,BYR_005,SUP_LARGE_002,LargeSupplier_002,LARGE,10941,West,1979,Office Supplies,3720.24,3183,11841523.92,84.2,5.0,False,False,5.3,7.37,4.7,False
82,2024-04-03,BYR_008,SUP_SMALL_020,SmallSupplier_020,SMALL,133,West,2023,IT Software,60203.57,45,2709160.65,56.6,4.09,False,True,2.4,5.44,2.64,False
83,2023-08-29,BYR_005,SUP_LARGE_051,LargeSupplier_051,LARGE,6627,Northeast,1997,IT Software,57143.68,67,3828626.56,85.3,5.0,False,False,6.4,6.84,5.28,False
84,2025-02-13,BYR_003,SUP_LARGE_095,LargeSupplier_095,LARGE,2734,Southwest,1969,IT Software,137256.0,46,6313776.0,95.8,4.46,False,True,12.3,7.57,6.71,False
85,2024-06-21,BYR_004,SUP_LARGE_087,LargeSupplier_087,LARGE,2690,Southeast,2008,Logistics,19580.17,74,1448932.58,93.3,4.33,False,True,11.6,9.05,6.28,False
86,2024-10-20,BYR_000,SUP_LARGE_020,LargeSupplier_020,LARGE,12922,West,1983,IT Hardware,32172.71,15,482590.65,87.6,4.71,False,False,4.5,7.53,7.62,False
87,2026-01-31,BYR_004,SUP_LARGE_093,LargeSupplier_093,LARGE,5170,West,1983,Professional Services,93016.43,1,93016.43,89.8,5.0,False,False,5.5,9.27,5.04,True
88,2022-04-01,BYR_009,SUP_LARGE_004,LargeSupplier_004,LARGE,2000,Southeast,1985,Marketing,42545.65,1,42545.65,83.5,4.5,True,True,6.5,8.23,5.13,False
89,2024-07-19,BYR_002,SUP_LARGE_039,LargeSupplier_039,LARGE,600,West,2004,Professional Services,95810.29,1,95810.29,88.8,4.53,False,True,3.1,7.32,8.21,False
90,2023-07-25,BYR_002,SUP_LARGE_054,LargeSupplier_054,LARGE,15772,Southwest,1968,Professional Services,86498.85,1,86498.85,91.2,4.71,False,False,14.9,6.07,6.52,False
91,2023-05-31,BYR_002,SUP_LARGE_080,LargeSupplier_080,LARGE,16541,Southeast,2006,IT Hardware,63276.86,6,379661.16,81.1,4.68,False,False,13.7,7.88,5.07,False
92,2024-01-09,BYR_007,SUP_LARGE_033,LargeSupplier_033,LARGE,8871,West,1965,Professional Services,80204.84,1,80204.84,91.6,4.95,False,False,13.3,6.03,7.26,False
93,2025-07-13,BYR_009,SUP_LARGE_039,LargeSupplier_039,LARGE,600,West,2004,Legal Services,120175.03,2,240350.06,95.1,4.78,False,True,3.1,7.32,8.21,False
94,2023-11-16,BYR_004,SUP_LARGE_014,LargeSupplier_014,LARGE,2505,Northeast,1973,Professional Services,93538.46,1,93538.46,91.6,4.92,False,False,12.9,9.08,5.13,False
95,2023-10-25,BYR_003,SUP_LARGE_066,LargeSupplier_066,LARGE,2528,Southeast,1954,Marketing,54973.61,1,54973.61,89.0,4.32,False,False,6.3,9.05,5.34,False
96,2024-04-07,BYR_006,SUP_LARGE_001,LargeSupplier_001,LARGE,7332,Southwest,1982,Raw Materials,15119.66,582,8799642.12,87.2,4.6,False,True,8.3,6.41,7.0,False
97,2021-10-26,BYR_009,SUP_LARGE_003,LargeSupplier_003,LARGE,1750,Northeast,1990,IT Hardware,28632.6,22,629917.2,89.8,4.89,True,True,4.6,7.4,5.52,False
98,2024-03-11,BYR_008,SUP_LARGE_097,LargeSupplier_097,LARGE,7937,Southeast,1984,IT Software,72111.42,27,1947008.34,95.0,5.0,False,False,10.3,7.36,6.3,False
99,2024-09-06,BYR_003,SUP_LARGE_083,LargeSupplier_083,LARGE,3770,Midwest,1970,HR Services,41230.32,1,41230.32,87.5,4.37,False,True,7.8,8.21,7.77,False
100,2024-03-08,BYR_004,SUP_LARGE_010,LargeSupplier_010,LARGE,7071,Northeast,1968,Marketing,50080.05,1,50080.05,78.1,5.0,False,False,4.2,9.11,6.55,False
101,2023-04-02,BYR_007,SUP_LARGE_001,LargeSupplier_001,LARGE,7332,Southwest,1982,IT Hardware,42022.28,15,630334.2,90.7,4.64,False,True,8.3,6.41,7.0,False
102,2024-12-06,BYR_002,SUP_LARGE_071,LargeSupplier_071,LARGE,5161,Midwest,1979,HR Services,40362.23,1,40362.23,97.5,4.84,False,False,8.7,9.48,7.54,False
103,2024-06-08,BYR_006,SUP_LARGE_119,LargeSupplier_119,LARGE,2625,West,1978,Facilities,24355.6,2,48711.2,80.4,5.0,False,True,9.8,7.7,8.23,False
104,2025-02-13,BYR_004,SUP_LARGE_118,LargeSupplier_118,LARGE,4296,Northeast,1995,HR Services,45811.18,1,45811.18,78.1,4.5,False,False,10.8,7.29,6.27,False
105,2024-06-03,BYR_007,SUP_LARGE_039,LargeSupplier_039,LARGE,600,West,2004,Raw Materials,13299.14,676,8990218.64,86.8,5.0,False,True,3.1,7.32,8.21,False
106,2024-12-15,BYR_008,SUP_LARGE_100,LargeSupplier_100,LARGE,8365,Northeast,1982,Marketing,61626.32,2,123252.64,86.4,4.12,False,False,10.6,7.07,8.65,False
107,2021-10-21,BYR_003,SUP_LARGE_075,LargeSupplier_075,LARGE,2654,Northeast,1967,IT Hardware,87371.61,34,2970634.74,86.8,4.69,True,False,6.9,6.47,6.66,False
108,2025-08-30,BYR_002,SUP_LARGE_113,LargeSupplier_113,LARGE,6327,West,1990,Raw Materials,14128.84,551,7784990.84,88.1,5.0,False,True,7.2,8.65,8.24,False
109,2023-05-01,BYR_006,SUP_LARGE_062,LargeSupplier_062,LARGE,1149,Midwest,1976,HR Services,54563.73,2,109127.46,92.8,4.8,False,True,14.8,7.36,8.9,False
110,2025-05-24,BYR_003,SUP_LARGE_083,LargeSupplier_083,LARGE,3770,Midwest,1970,HR Services,49349.84,2,98699.68,78.8,4.56,False,True,7.8,8.21,7.77,False
111,2024-07-04,BYR_001,SUP_LARGE_001,LargeSupplier_001,LARGE,7332,Southwest,1982,Raw Materials,9372.22,688,6448087.36,82.0,4.42,False,True,8.3,6.41,7.0,False
112,2023-10-25,BYR_000,SUP_LARGE_114,LargeSupplier_114,LARGE,1290,Northeast,1978,Professional Services,50314.26,1,50314.26,82.5,5.0,False,False,13.5,5.88,5.19,False
113,2024-12-15,BYR_003,SUP_LARGE_025,LargeSupplier_025,LARGE,972,Northeast,2008,Facilities,28026.59,2,56053.18,72.0,4.48,False,True,12.0,8.77,4.97,False
114,2024-12-31,BYR_007,SUP_LARGE_061,LargeSupplier_061,LARGE,21972,Midwest,1965,Marketing,71156.53,1,71156.53,90.2,4.53,False,False,10.8,9.38,8.93,False
115,2022-08-05,BYR_004,SUP_LARGE_117,LargeSupplier_117,LARGE,3653,Southeast,2006,IT Hardware,27671.92,14,387406.88,75.9,4.11,True,True,5.6,6.33,7.88,False
116,2025-09-18,BYR_005,SUP_SMALL_028,SmallSupplier_028,SMALL,67,West,2007,HR Services,30011.43,1,30011.43,77.1,3.57,False,True,4.6,5.92,5.0,False
117,2021-11-09,BYR_007,SUP_LARGE_059,LargeSupplier_059,LARGE,7083,Pacific,1979,Raw Materials,11825.19,998,11801539.62,93.1,4.53,True,True,8.4,6.73,7.19,False
118,2022-12-06,BYR_002,SUP_LARGE_044,LargeSupplier_044,LARGE,2132,Northeast,1961,Professional Services,113083.62,1,113083.62,99.0,5.0,True,False,6.2,8.34,8.91,False
119,2024-06-13,BYR_001,SUP_LARGE_066,LargeSupplier_066,LARGE,2528,Southeast,1954,Facilities,24795.35,1,24795.35,82.8,4.45,False,False,6.3,9.05,5.34,False
120,2022-08-07,BYR_003,SUP_LARGE_084,LargeSupplier_084,LARGE,2732,Northeast,1985,Office Supplies,2962.78,1581,4684155.18,77.0,3.88,True,False,12.6,7.58,6.34,False
121,2022-07-24,BYR_006,SUP_SMALL_017,SmallSupplier_017,SMALL,145,Southeast,2006,Facilities,30086.6,1,30086.6,82.2,4.39,True,True,1.9,7.43,2.32,False
122,2025-08-12,BYR_005,SUP_LARGE_076,LargeSupplier_076,LARGE,1304,West,1966,Professional Services,95878.63,1,95878.63,92.6,4.7,False,True,4.8,5.69,5.12,True
123,2023-06-09,BYR_001,SUP_LARGE_068,LargeSupplier_068,LARGE,19207,Southeast,1979,IT Software,80507.68,35,2817768.8,73.5,4.44,False,False,3.8,6.31,4.58,False
124,2025-07-06,BYR_003,SUP_LARGE_064,LargeSupplier_064,LARGE,5440,West,1970,HR Services,33365.81,1,33365.81,87.7,5.0,False,False,12.6,5.7,5.56,False
125,2024-01-09,BYR_001,SUP_LARGE_065,LargeSupplier_065,LARGE,4637,Northeast,1973,Office Supplies,3456.9,2544,8794353.6,93.3,4.99,False,False,7.8,9.08,7.52,False
126,2025-06-01,BYR_006,SUP_LARGE_073,LargeSupplier_073,LARGE,1597,Southeast,1979,IT Hardware,38504.01,16,616064.16,99.0,4.62,False,True,3.6,5.95,6.23,False
127,2026-02-25,BYR_000,SUP_LARGE_079,LargeSupplier_079,LARGE,6474,Northeast,1988,Professional Services,86294.72,1,86294.72,87.8,5.0,False,False,8.0,6.77,4.85,False
128,2024-08-17,BYR_005,SUP_LARGE_033,LargeSupplier_033,LARGE,8871,West,1965,Legal Services,101320.32,2,202640.64,82.7,4.02,False,False,13.3,6.03,7.26,False
129,2023-03-08,BYR_005,SUP_LARGE_086,LargeSupplier_086,LARGE,10859,West,1950,IT Software,33346.65,18,600239.7,65.8,4.33,False,False,9.8,5.92,8.57,False
130,2024-04-05,BYR_001,SUP_SMALL_003,SmallSupplier_003,SMALL,51,Northeast,2017,IT Hardware,71216.1,13,925809.3,81.0,3.34,False,True,1.4,5.4,2.99,False
131,2025-07-04,BYR_001,SUP_LARGE_010,LargeSupplier_010,LARGE,7071,Northeast,1968,Logistics,22925.24,67,1535991.08,87.0,5.0,False,False,4.2,9.11,6.55,False
132,2022-05-21,BYR_003,SUP_LARGE_081,LargeSupplier_081,LARGE,3476,Pacific,1980,Facilities,42880.52,5,214402.6,81.6,4.65,True,True,10.0,6.01,8.54,True
133,2021-08-07,BYR_000,SUP_LARGE_113,LargeSupplier_113,LARGE,6327,West,1990,Office Supplies,2582.85,2108,5444647.8,92.5,4.18,True,True,7.2,8.65,8.24,False
134,2024-02-16,BYR_001,SUP_LARGE_027,LargeSupplier_027,LARGE,2208,West,1988,IT Software,54617.7,24,1310824.8,85.0,4.91,False,True,7.7,6.77,6.77,False
135,2024-05-02,BYR_009,SUP_LARGE_008,LargeSupplier_008,LARGE,2582,Midwest,1965,IT Hardware,62728.77,36,2258235.72,75.9,4.93,False,False,4.9,7.5,5.19,False
136,2021-09-11,BYR_008,SUP_LARGE_081,LargeSupplier_081,LARGE,3476,Pacific,1980,Marketing,62686.69,2,125373.38,85.5,4.41,True,True,10.0,6.01,8.54,True
137,2025-05-12,BYR_003,SUP_LARGE_055,LargeSupplier_055,LARGE,4593,Northeast,2003,Raw Materials,9544.36,458,4371316.88,83.7,4.92,False,False,5.2,9.13,4.7,False
138,2025-05-27,BYR_002,SUP_LARGE_039,LargeSupplier_039,LARGE,600,West,2004,Legal Services,66781.23,2,133562.46,86.4,4.39,False,True,3.1,7.32,8.21,False
139,2023-11-28,BYR_001,SUP_LARGE_089,LargeSupplier_089,LARGE,636,Northeast,1991,IT Hardware,51160.23,15,767403.45,75.5,5.0,False,True,4.2,8.51,8.46,False
140,2022-01-11,BYR_003,SUP_LARGE_073,LargeSupplier_073,LARGE,1597,Southeast,1979,IT Hardware,42710.34,15,640655.1,99.0,4.55,True,True,3.6,5.95,6.23,False
141,2024-01-07,BYR_006,SUP_SMALL_018,SmallSupplier_018,SMALL,57,Midwest,2007,IT Hardware,42052.99,9,378476.91,71.1,3.14,False,True,3.3,3.68,4.19,False
142,2025-03-15,BYR_005,SUP_LARGE_040,LargeSupplier_040,LARGE,4668,Pacific,1962,Professional Services,71987.66,1,71987.66,99.0,4.47,False,True,13.6,6.64,8.27,False
143,2025-08-17,BYR_000,SUP_LARGE_100,LargeSupplier_100,LARGE,8365,Northeast,1982,Marketing,50701.07,1,50701.07,84.8,5.0,False,False,10.6,7.07,8.65,False
